Name,Tags,CenterLat,CenterLon,Polygon,Description,ImageUrls,TipoAccesso
Prato Prüsciada,,46.566487,8.938693,"[[46.56504813568101, 8.938297085129381], [46.56510791617499, 8.937957932168743], [46.5662317099438, 8.938369987729658], [46.566513290067086, 8.938337696697214], [46.56665471018046, 8.9384485405641], [46.567108918065095, 8.938698027142578], [46.56728270324187, 8.938736540382434], [46.56739451365134, 8.938740506380151], [46.56741008209366, 8.93891595457609], [46.56742960637828, 8.939130405168815], [46.56748695728438, 8.939527404078088], [46.567318161156926, 8.939444936423264], [46.56724654814557, 8.9391123640693], [46.566590068191815, 8.938997584337875], [46.5660361391672, 8.938738110516487], [46.56552651292936, 8.938370488082601], [46.56532865882155, 8.938344956031408], [46.56504813568101, 8.938297085129381]]","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","[""https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500"", ""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500""]",entrambi
Spiazzo Cügnett,,46.568918,8.939391,"[[46.56901174100697, 8.939284124410307], [46.56874765918534, 8.939304984295116], [46.56881387011058, 8.939548406040123], [46.56900567246745, 8.93953359498549], [46.56901174100697, 8.939284124410307]]",Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium.,"[""https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500"", ""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500""]",entrambi
Bosco Cügnett,,46.569749,8.938861,"[[46.569295199973034, 8.938617719334717], [46.569292422367454, 8.939248482567498], [46.57007080595504, 8.939323302673275], [46.57038202818972, 8.939215845631404], [46.57022440658248, 8.938762256737164], [46.569927283587205, 8.93859250262809], [46.56950449575477, 8.938506997137958], [46.569295199973034, 8.938617719334717]]","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","[""https://images.unsplash.com/photo-1511497584788-876760111969?w=500"", ""https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500""]",entrambi
Bosco Valle,,46.568490,8.941403,"[[46.5687006185159, 8.941610882283952], [46.56900745764248, 8.94070328581306], [46.56847191660895, 8.940589171746108], [46.56819490200374, 8.940833410779687], [46.567723690975924, 8.941828036136448], [46.5685269441979, 8.942140120483472], [46.568596683642454, 8.941905731923638], [46.5687006185159, 8.941610882283952]]",Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium.,"[""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500"", ""https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500""]",entrambi
Dietro Pinadaigra - Tra i ponti,,46.558273,8.944756,"[[46.55790386360437, 8.944810015063371], [46.558197241981446, 8.944567101194151], [46.55840266564423, 8.94417174096946], [46.558610005269756, 8.944311202661789], [46.55868070915769, 8.944577295396595], [46.55857227111468, 8.94495253040266], [46.55838413880692, 8.945230982016596], [46.55824987442971, 8.945008771425684], [46.55811349411254, 8.944946280936616], [46.55798995704022, 8.944933059750122], [46.55790386360437, 8.944810015063371]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1511497584788-876760111969?w=500"", ""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500""]",entrambi
Dietro Pinadaigra - Alto,,46.557660,8.944382,"[[46.55749064865684, 8.944250710060665], [46.55749202959835, 8.944146404960657], [46.55756939971538, 8.944035195391788], [46.55783011737092, 8.943924297618212], [46.557917204193025, 8.943972370843664], [46.5579989397614, 8.94442463029704], [46.5579055472393, 8.94468289226817], [46.557780412857696, 8.944790275136613], [46.557602749054276, 8.945297266638716], [46.55717789782649, 8.944427869027173], [46.55749064865684, 8.944250710060665]]",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,"[""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500"", ""https://images.unsplash.com/photo-1511497584788-876760111969?w=500""]",entrambi
Dietro Pinadaigra - Basso,,46.557599,8.943865,"[[46.55791612066877, 8.943884300169302], [46.557898731703, 8.94366860634474], [46.55720165840349, 8.943652479454261], [46.55709870783872, 8.94378330529076], [46.557424100386996, 8.944180383087106], [46.55755838977766, 8.943988534820084], [46.557774927109094, 8.943880779556297], [46.55791612066877, 8.943884300169302]]","Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500"", ""https://images.unsplash.com/photo-1511497584788-876760111969?w=500""]",entrambi
Prato Via Chiesa,,46.554873,8.937940,"[[46.555187880857936, 8.937715670329414], [46.554957054366625, 8.937709276058852], [46.55474615107929, 8.937621460327076], [46.55447625798213, 8.937668456517772], [46.554357828389264, 8.938123034136108], [46.55453086523505, 8.938223464086406], [46.55472337536823, 8.938276616527952], [46.554944239997674, 8.938323723992122], [46.55517251701108, 8.938166102086118], [46.5553187914371, 8.937794439883813], [46.555187880857936, 8.937715670329414]]",Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium.,"[""https://images.unsplash.com/photo-1494548162494-384bba4ab999?w=500"", ""https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=500""]",entrambi
Bosco Sud,,46.560478,8.940853,"[[46.56099903030871, 8.940429458130225], [46.561026585919414, 8.940965912272175], [46.56057335244622, 8.941768015929943], [46.559545591474865, 8.941264679973086], [46.55962506541126, 8.94075379357178], [46.56035213846928, 8.940766948766715], [46.56070060386172, 8.9404462681934], [46.56099903030871, 8.940429458130225]]","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","[""https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500"", ""https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500""]",entrambi
Radura Sud,,46.559321,8.940720,"[[46.559590577388384, 8.940740966336815], [46.55950421590434, 8.941265608323302], [46.559341893434734, 8.94111030467154], [46.55911805442496, 8.940896146316824], [46.55900202387007, 8.940496084186888], [46.55897959476236, 8.940276690945346], [46.559309883749336, 8.940250425781926], [46.55945050729872, 8.940706075725558], [46.559590577388384, 8.940740966336815]]",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,"[""https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=500"", ""https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500""]",entrambi
