Sottocampo,UnitName,ShortName,Tipo,Email
Alpino,Bellinzona + Moesano,BEL-ROV-E,Reparto,bellinzonaemoesano@bestiale2026.ch
Alpino,Brigata Locarno,BRD-E,Reparto,brigatalocarno@bestiale2026.ch
Alpino,Tesserete,TSR-E,Reparto,tobia.albergoni@gmail.com
Alpino,Viganello,VGN-E,Reparto,viganello@bestiale2026.ch
Alpino,Breganzona,BRG-E,Reparto,breganzona@bestiale2026.ch
Montano,Giubiasco,GIU-E,Reparto,giubiasco@bestiale2026.ch
Montano,Biasca,BIA-E,Reparto,biasca@bestiale2026.ch
Montano,Canobbio,CAN-E,Reparto,canobbio@bestiale2026.ch
Montano,Massagno,MAS-E,Reparto,massagno@bestiale2026.ch
Montano,Agno Bioggio,AGN-E,Reparto,agnobioggio@bestiale2026.ch
Montano,Balerna,BAL-E,Reparto,balerna@bestiale2026.ch
Prealpino,Faido,FAI-E,Reparto,faido@bestiale2026.ch
Prealpino,Claro-Daro + Sant'Antonino,CDR-E,Reparto,clarodarosantantonino@bestiale2026.ch
Prealpino,Gambarogno,GAM-E,Reparto,gambarogno@bestiale2026.ch
Prealpino,Vallemaggia,VAL-E,Reparto,vallemaggia@bestiale2026.ch
Prealpino,Mendrisio + Monte San Giorgio,MEN-E,Reparto,mendrisiomontesangiorgio@bestiale2026.ch
Prealpino,Arogno,ARO-E,Reparto,arogno@bestiale2026.ch
Collinare,Lugano 1915,LUG-E,Reparto,lugano1915@bestiale2026.ch
Collinare,Brigata La Fenice,FEN-E,Reparto,brigatalafenice@bestiale2026.ch
Collinare,TeGo + Caslano,TGO-E,Reparto,tegocaslano@bestiale2026.ch
Collinare,Medio Vedeggio,MED-E,Reparto,mediovedeggio@bestiale2026.ch
Collinare,Castel S. Pietro,CSP-E,Reparto,castelspietro@bestiale2026.ch
Collinare,SOC,SOC,Reparto,soc@bestiale2026.ch
,Posto Tre Valli,P-TRV,Posto,postotrevalli@bestiale2026.ch
,Posto Mendrisiotto,P-MEN,Posto,postomendrisiotto@bestiale2026.ch
,Posto Luganese,P-LUG,Posto,postoluganese@bestiale2026.ch
